date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:10	7595/7595	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:45:18%20GMT	http://mappedinjakarta.com/images/logo.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/logo.png	(from http://mappedinjakarta.com/)
22:07:11	4135/4135	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:23:46%20GMT	http://mappedinjakarta.com/images/icons/startup.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/startup.png	(from http://mappedinjakarta.com/)
22:07:12	3896/3896	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:24:36%20GMT	http://mappedinjakarta.com/images/icons/entrepreneur.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/entrepreneur.png	(from http://mappedinjakarta.com/)
22:07:13	3881/3881	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:24:06%20GMT	http://mappedinjakarta.com/images/icons/accelerator.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/accelerator.png	(from http://mappedinjakarta.com/)
22:07:14	4288/4288	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:24:28%20GMT	http://mappedinjakarta.com/images/icons/coworking.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/coworking.png	(from http://mappedinjakarta.com/)
22:07:14	107202/107202	---M--	200	added ('OK')	application/javascript	etag:%229de39e1f13885f6a8811cbca7c68b60b%22	http://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/onli/platform.twitter.com/widgets.js	(from http://mappedinjakarta.com/)
22:07:15	3570/3570	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:24:56%20GMT	http://mappedinjakarta.com/images/icons/investor.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/investor.png	(from http://mappedinjakarta.com/)
22:07:16	4201/4201	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:25:14%20GMT	http://mappedinjakarta.com/images/icons/service.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/service.png	(from http://mappedinjakarta.com/)
22:07:17	3876/3876	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Nov%202013%2012:56:12%20GMT	http://mappedinjakarta.com/images/icons/rdcenter.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/rdcenter.png	(from http://mappedinjakarta.com/)
22:07:20	4419/4419	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:24:16%20GMT	http://mappedinjakarta.com/images/icons/community.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/community.png	(from http://mappedinjakarta.com/)
22:07:21	4095/4095	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202013%2005:24:44%20GMT	http://mappedinjakarta.com/images/icons/event.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/event.png	(from http://mappedinjakarta.com/)
22:07:21	0/-1	---M--	302	error ('')			http://mappedinjakarta.com/menu/index.php	C:/My%20Web%20Sites/onli/mappedinjakarta.com/menu/index.1f.delayed	(from http://mappedinjakarta.com/)
22:07:21	0/-1	---M--	302	error ('')			http://mappedinjakarta.com/logout.php	C:/My%20Web%20Sites/onli/mappedinjakarta.com/logout.20.delayed	(from http://mappedinjakarta.com/)
22:07:22	1059/1059	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Sep%202013%2003:52:18%20GMT	http://mappedinjakarta.com/images/icon-search.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icon-search.png	(from http://mappedinjakarta.com/map.css?nocache=289671982568)
22:07:23	2868/2868	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202013%2023:42:06%20GMT	http://mappedinjakarta.com/images/icons/check.png	C:/My%20Web%20Sites/onli/mappedinjakarta.com/images/icons/check.png	(from http://mappedinjakarta.com/map.css?nocache=289671982568)
